source,destination,fare,seats,rating,collection_date,journey_date,operator
Bengaluru,Coorg,771,37,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,817,34,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,771,32,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,866,28,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,866,43,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,866,39,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,374,45,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,866,38,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,771,37,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,866,39,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,369,43,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,866,40,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,771,38,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,866,37,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,771,37,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,866,43,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,1190,26,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,840,19,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,426,43,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,365,41,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,771,39,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,570,27,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,563,32,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,750,22,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,603,32,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,603,32,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,369,49,4.0,2026-06-02,2026-06-04,KSRTC Karnataka
Bengaluru,Coorg,899,26,3.8,2026-06-02,2026-06-04,Manjushree Travels
Bengaluru,Coorg,1200,21,4.7,2026-06-02,2026-06-04,Team Galaxy Tour Planner
Bengaluru,Coorg,1100,15,4.8,2026-06-02,2026-06-04,Kohinoor Travels
Bengaluru,Coorg,1250,24,4.7,2026-06-02,2026-06-04,Mooncruze Xpressline
Bengaluru,Coorg,899,33,4.6,2026-06-02,2026-06-04,SKS Tours N Travels
Bengaluru,Coorg,1249,25,4.2,2026-06-02,2026-06-04,Sri Vinayaka Bus
Bengaluru,Coorg,1249,23,3.9,2026-06-02,2026-06-04,Sri Vinayaka Bus
Bengaluru,Coorg,650,17,4.2,2026-06-02,2026-06-04,Nagashree Travels
Bengaluru,Coorg,889,27,4.2,2026-06-02,2026-06-04,Ashwini Tours
Bengaluru,Coorg,995,15,3.9,2026-06-02,2026-06-04,Asian Xpress
Bengaluru,Coorg,995,15,3.9,2026-06-02,2026-06-04,Asian Xpress
Bengaluru,Coorg,799,34,3.6,2026-06-02,2026-06-04,SRI SUGAM TRAVELS
Bengaluru,Coorg,660,23,4.0,2026-06-02,2026-06-04,Green Line Travels and Holidays
Bengaluru,Coorg,599,24,4.1,2026-06-02,2026-06-04,Ashwini Tours
Bengaluru,Coorg,580,24,3.6,2026-06-02,2026-06-04,Poornima Tours
Bengaluru,Coorg,590,27,3.3,2026-06-02,2026-06-04,Poornima Tours
Bengaluru,Coorg,500,30,2.9,2026-06-02,2026-06-04,Poornima Tours
Bengaluru,Coorg,600,30,2.6,2026-06-02,2026-06-04,Poornima Tours
Bengaluru,Coorg,550,28,2.8,2026-06-02,2026-06-04,Poornima Tours
Bengaluru,Coorg,550,30,2.9,2026-06-02,2026-06-04,Poornima Tours
Bengaluru,Coorg,529,20,3.4,2026-06-02,2026-06-04,Ashwini Tours
Bengaluru,Coorg,699,20,2.6,2026-06-02,2026-06-04,Bharathi Travels
Bengaluru,Coorg,663,34,3.4,2026-06-02,2026-06-04,Sugama  Tourists
Bengaluru,Coorg,600,23,2.9,2026-06-02,2026-06-04,Poornima Tours
Bengaluru,Coorg,1049,22,2.1,2026-06-02,2026-06-04,Manu Tourist
Bengaluru,Coorg,1549,30,3.7,2026-06-02,2026-06-04,Dhriti Travels
Bengaluru,Coorg,900,16,4.5,2026-06-02,2026-06-04,Kohinoor Travels
Bengaluru,Coorg,4000,23,3.7,2026-06-02,2026-06-04,Deepika Tours And Travels
Bengaluru,Coorg,2000,40,4.6,2026-06-02,2026-06-04,Go Mysore Travels
Bengaluru,Coorg,1245,2,3.9,2026-06-02,2026-06-04,Asian Xpress
Bengaluru,Coorg,1245,2,3.9,2026-06-02,2026-06-04,Asian Xpress
indore,jaipur,999,29,3.1,2026-06-02,2026-07-03,Get Book Cab
indore,jaipur,1299,44,3.6,2026-06-02,2026-07-03,Get Book Cab
indore,jaipur,1300,42,2.5,2026-06-02,2026-07-03,Ashok Travels Mandsaur
pune,mumbai,2380,35,4.8,2026-06-02,2026-07-04,Maharaja Travels(mrja)
pune,mumbai,1000,30,4.6,2026-06-02,2026-07-04,Navlai Tours and Travels
pune,mumbai,700,27,4.6,2026-06-02,2026-07-04,Aarambh Tours and Travels
pune,mumbai,2010,36,4.4,2026-06-02,2026-07-04,M B Link Tourist
pune,mumbai,6999,42,4.3,2026-06-02,2026-07-04,EXPRESS LINE
pune,mumbai,550,17,4.7,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,900,50,4.2,2026-06-02,2026-07-04,PRAKASH TRAVELS PVT LTD
pune,mumbai,2000,19,4.5,2026-06-02,2026-07-04,Shree Devnarayan Travels
pune,mumbai,1499,43,4.1,2026-06-02,2026-07-04,Haridham Travels(hrdm)
pune,mumbai,1680,42,4.3,2026-06-02,2026-07-04,Ravikrishna Travels
pune,mumbai,499,19,4.4,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,2050,11,4.2,2026-06-02,2026-07-04,Humsafar Travels
pune,mumbai,550,15,4.4,2026-06-02,2026-07-04,Neeta Tours and Travels
pune,mumbai,700,30,3.9,2026-06-02,2026-07-04,Garud Travels
pune,mumbai,1999,36,4.3,2026-06-02,2026-07-04,Shree Travels Tasgaon (sttg)
pune,mumbai,2500,17,3.9,2026-06-02,2026-07-04,Meera Tour & Travels
pune,mumbai,1099,36,4.0,2026-06-02,2026-07-04,Ravikrishna Travels
pune,mumbai,2000,36,4.1,2026-06-02,2026-07-04,Sanjay Travels-Ichalkarnji
pune,mumbai,1699,30,3.9,2026-06-02,2026-07-04,Tejas travels
pune,mumbai,5000,34,4.2,2026-06-02,2026-07-04,Matoshree Tourist
pune,mumbai,2000,31,3.8,2026-06-02,2026-07-04,M B Link Tourist
pune,mumbai,4000,33,3.8,2026-06-02,2026-07-04,ANAND TRAVELS(amds)
pune,mumbai,1499,36,4.2,2026-06-02,2026-07-04,Ravikrishna Travels
pune,mumbai,1900,19,4.2,2026-06-02,2026-07-04,Jay Khodiyar Bus Service Pvt Ltd
